label,support,lexical_f1,semantic_f1,f1_delta_semantic_minus_lexical,lexical_errors,semantic_errors,error_delta_semantic_minus_lexical
Refund_not_showing_up,40,0.8536585365853658,0.9333333333333333,0.07967479674796751,5,5,0
activate_my_card,40,0.9743589743589743,0.9473684210526315,-0.026990553306342813,2,4,2
age_limit,40,0.9876543209876543,0.9876543209876543,0.0,0,0,0
apple_pay_or_google_pay,40,0.9876543209876543,0.9876543209876543,0.0,0,0,0
atm_support,40,0.935064935064935,0.9743589743589743,0.039294039294039296,4,2,-2
automatic_top_up,40,0.9473684210526315,0.9333333333333333,-0.014035087719298178,4,5,1
balance_not_updated_after_bank_transfer,40,0.6966292134831461,0.7654320987654321,0.06880288528228595,9,9,0
balance_not_updated_after_cheque_or_cash_deposit,40,0.8941176470588236,0.9382716049382716,0.04415395787944798,2,2,0
beneficiary_not_allowed,40,0.8947368421052632,0.8461538461538461,-0.04858299595141702,6,7,1
cancel_transfer,40,0.95,0.975609756097561,0.025609756097561,2,0,-2
card_about_to_expire,40,0.975,0.963855421686747,-0.011144578313252995,1,0,-1
card_acceptance,40,0.8169014084507042,0.8947368421052632,0.07783543365455892,11,6,-5
card_arrival,40,0.8674698795180723,0.875,0.0075301204819276935,4,5,1
card_delivery_estimate,40,0.9,0.8888888888888888,-0.011111111111111183,4,4,0
card_linking,40,0.9411764705882353,0.9411764705882353,0.0,0,0,0
card_not_working,40,0.7422680412371134,0.9047619047619048,0.16249386352479134,4,2,-2
card_payment_fee_charged,40,0.8607594936708861,0.8735632183908046,0.01280372471991853,6,2,-4
card_payment_not_recognised,40,0.7764705882352941,0.8051948051948052,0.028724216959511106,7,9,2
card_payment_wrong_exchange_rate,40,0.926829268292683,0.926829268292683,0.0,2,2,0
card_swallowed,40,0.918918918918919,0.9333333333333333,0.014414414414414378,6,5,-1
cash_withdrawal_charge,40,0.9113924050632911,0.95,0.038607594936708844,4,2,-2
cash_withdrawal_not_recognised,40,0.8192771084337349,0.7816091954022989,-0.03766791303143602,6,6,0
change_pin,40,0.9743589743589743,0.9629629629629629,-0.01139601139601143,2,1,-1
compromised_card,40,0.8354430379746836,0.8157894736842105,-0.019653564290473047,7,9,2
contactless_not_working,40,0.8888888888888888,0.9333333333333333,0.04444444444444451,8,5,-3
country_support,40,0.926829268292683,0.963855421686747,0.03702615339406401,2,0,-2
declined_card_payment,40,0.8297872340425532,0.8478260869565217,0.01803885291396856,1,1,0
declined_cash_withdrawal,40,0.8314606741573034,0.9069767441860465,0.07551607002874305,3,1,-2
declined_transfer,40,0.9041095890410958,0.8115942028985508,-0.09251538614254506,7,12,5
direct_debit_payment_not_recognised,40,0.8918918918918919,0.8421052631578947,-0.049786628733997196,7,8,1
disposable_card_limits,40,0.868421052631579,0.8974358974358975,0.029014844804318485,7,5,-2
edit_personal_details,40,0.9876543209876543,1.0,0.012345679012345734,0,0,0
exchange_charge,40,0.8433734939759037,0.9487179487179487,0.10534445474204501,5,3,-2
exchange_rate,40,0.9135802469135802,0.9512195121951219,0.03763926528154171,3,1,-2
exchange_via_app,40,0.8641975308641975,0.8536585365853658,-0.010538994278831648,5,5,0
extra_charge_on_statement,40,0.7906976744186046,0.8974358974358975,0.10673822301729285,6,5,-1
failed_transfer,40,0.8181818181818182,0.8470588235294118,0.02887700534759352,4,4,0
fiat_currency_support,40,0.8169014084507042,0.8860759493670886,0.06917454091638431,11,5,-6
get_disposable_virtual_card,40,0.7804878048780488,0.868421052631579,0.08793324775353017,8,7,-1
get_physical_card,40,0.9176470588235294,0.975609756097561,0.05796269727403158,1,0,-1
