document_id,status,document_type,eligible,gold_count,acceptable_count,hard_negative_count,forbidden_count
ESC_CARD_DECLINED_001,EXPIRED,escalation_guide,False,0,0,0,1
ESC_CARD_REVERT_001,APPROVED,escalation_guide,True,2,0,0,0
ESC_CASH_DECLINED_001,APPROVED,escalation_guide,True,2,0,0,0
ESC_CASH_UNRECOG_001,APPROVED,escalation_guide,True,3,0,0,0
ESC_TRANSFER_RECIPIENT_001,APPROVED,escalation_guide,True,1,0,0,0
FAQ_CARD_DECLINED_001,APPROVED,faq,True,1,4,4,0
FAQ_CARD_PENDING_001,APPROVED,faq,True,3,3,0,0
FAQ_CASH_PENDING_001,APPROVED,faq,True,3,3,5,0
FAQ_CASH_PENDING_002,DRAFT,faq,False,0,0,0,1
FAQ_TRANSFER_DECLINED_001,APPROVED,faq,True,2,3,0,0
FAQ_TRANSFER_FAILED_001,APPROVED,faq,True,2,4,0,0
FAQ_TRANSFER_PENDING_001,APPROVED,faq,True,3,4,0,0
FAQ_TRANSFER_RECIPIENT_001,EXPIRED,faq,False,0,0,0,1
FAQ_TRANSFER_RECIPIENT_002,APPROVED,faq,True,2,5,0,0
FAQ_TRANSFER_RECIPIENT_003,DRAFT,faq,False,0,0,0,1
POL_CARD_PENDING_001,APPROVED,policy,True,1,1,6,0
POL_CARD_REVERT_001,EXPIRED,policy,False,0,0,0,1
POL_CARD_REVERT_002,APPROVED,policy,True,4,5,5,0
POL_CARD_REVERT_003,DRAFT,policy,False,0,0,0,1
POL_CASH_DECLINED_001,APPROVED,policy,True,3,5,5,0
POL_CASH_UNRECOG_001,APPROVED,policy,True,2,5,4,0
POL_TRANSFER_DECLINED_001,APPROVED,policy,True,2,1,6,0
POL_TRANSFER_FAILED_001,APPROVED,policy,True,1,1,8,0
POL_TRANSFER_PENDING_001,EXPIRED,policy,False,0,0,0,1
POL_TRANSFER_PENDING_002,APPROVED,policy,True,2,1,6,0
POL_TRANSFER_PENDING_003,DRAFT,policy,False,0,0,0,1
POL_TRANSFER_RECIPIENT_001,APPROVED,policy,True,3,0,1,0
RUN_CARD_DECLINED_001,APPROVED,runbook,True,5,1,0,0
RUN_CARD_PENDING_001,APPROVED,runbook,True,1,1,0,0
RUN_CASH_PENDING_001,APPROVED,runbook,True,2,2,0,0
RUN_CASH_UNRECOG_001,EXPIRED,runbook,False,0,0,0,1
RUN_CASH_UNRECOG_002,APPROVED,runbook,True,2,0,0,0
RUN_CASH_UNRECOG_003,DRAFT,runbook,False,0,0,0,1
RUN_TRANSFER_DECLINED_001,APPROVED,runbook,True,1,1,0,0
RUN_TRANSFER_FAILED_001,APPROVED,runbook,True,2,0,0,0
RUN_TRANSFER_PENDING_001,APPROVED,runbook,True,1,0,0,0
